no,hotel_name,room_type,review_score,review_text,total_users,price_in_dollar
0,One Vientiane Hotel,Superior Twin,8.6,Excellent ,914,34.09
1,Azalea Parkview Hotel,Deluxe Twin Room,8.3,Excellent ,"1,597",68.18
2,Douangchan Plaza Hotel,Superior Double Room,7.4,Very good ,732,17.12
3,Patuxay Place,N/A,8.9,Excellent ,471,N/A
4,S Park Design Hotel,Deluxe Twin Room,8.4,Excellent ,"2,484",48.72
5,Crowne Plaza Vientiane,1 King Deluxe Non Smoking,9.1,Exceptional ,"1,158",95.29
6,Sunbeam Hotel,Standard Double Room,8.2,Excellent ,781,25.06
7,Bloom Boutique Hotel and Cafe,Superior Double Room,8.8,Excellent ,968,44.06
8,Somerset Vientiane Serviced Residence,Studio Executive,8.4,Excellent ,605,49.49
9,Eastin Hotel Vientiane,Superior City View,8.8,Excellent ,584,68.12
10,One Vientiane Hotel,Superior Twin,8.6,Excellent ,914,34.09
11,La Seine Hotel,Superior Room,8.9,Excellent ,159,107.58
12,Landmark Vientiane Life Center,Standard King Room - Non-Smoking,8.2,Excellent ,73,46.03
13,Aaron Vientiane Hotel,Superior Twin Room,7.7,Very good ,305,37.89
14,SYRI Boutique Guesthouse Restaurant & Cafe,N/A,8.5,Excellent ,773,N/A
15,Azalea Parkview Hotel,Deluxe Twin Room,8.3,Excellent ,"1,597",68.18
16,Manorom Boutique Hotel,Standard Twin Room,7.4,Very good ,"1,322",29.83
17,Lanexang Princess Hotel,Deluxe Double No Window,7.6,Very good ,"2,087",20.38
18,Salana Boutique Hotel,Superior Double Room,8.8,Excellent ,"2,058",108.92
19,Malinamphu Hotel,Standard Double Room,7.3,Very good ,"3,134",26.86
20,Douangchan Plaza Hotel,Superior Double Room,7.4,Very good ,732,17.12
21,Viryla Boutique Hotel,Standard Double Room,8.4,Excellent ,826,23.86
22,Laotel Vientaine Hotel,Standard Double or Twin Room,8.3,Excellent ,49,44.75
23,Le Thatluang D’oR Boutique Hotel,Deluxe Double or Twin Room,8.8,Excellent ,337,81.12
24,Ibis Vientiane Nam Phu Hotel,Standard Double Room,8.3,Excellent ,"1,499",44.15
25,S Park Design Hotel,Deluxe Twin Room,8.4,Excellent ,"2,484",48.72
26,City Inn Vientiane Hotel,Deluxe Double,8,Excellent ,"1,392",33.26
27,Xaysomboun Boutique Hotel & Spa,N/A,7.8,Very good ,"2,583",N/A
28,V Hotel Vientiane,Standard Double Room,7.1,Very good ,"2,468",27.00
29,Ali Grand Hotel,Single Superior,8.2,Excellent ,70,59.29
30,Le Charme Vientiane Hotel,Deluxe Room,8.1,Excellent ,"1,263",57.12
31,Vientiane Garden Villa Hotel,Superior Double Room,7.6,Very good ,964,29.52
32,1M Hotel,Standard Double Room,7.3,Very good ,272,15.98
33,Sailomyen Cafe & Hostel,Twin Room,8.8,Excellent ,"1,203",19.18
34,S 2 Modern Boutique Hotel ,Classic King Bed,8.7,Excellent ,695,52.72
35,Dhavara Boutique Hotel,Deluxe Double Bed,8.9,Excellent ,963,63.18
36,Lanis House by the Ponds,Deluxe Twin Bed A,8.7,Excellent ,327,38.35
37,Vientiane Golden Sun Hotel,N/A,7.5,Very good ,"1,243",N/A
38,Rainbow Hotel Vientiane,Standard Twin - Shared Bathroom,7.4,Very good ,421,9.38
39,Vientiane Plaza Hotel,Superior Twin Room,7.3,Very good ,488,41.38
40,Vientiane Luxury Hotel,Deluxe Double Room,7.6,Very good ,"1,368",30.69
41,Centerpoint Boutique Hotel,Standard Room,8.5,Excellent ,41,28.52
42,Nana Backpacker Hostel ,Deluxe Double Room,9.3,Exceptional ,274,19.95
43,Phasouk Vien Chantra Hotel,Superior Double or Twin Room,8.1,Excellent ,127,48.43
44,Muong Thanh Luxury Vientiane,Deluxe Twin With River View,8.3,Excellent ,"1,561",98.18
45,Lao Plaza Hotel,Deluxe Room,8.3,Excellent ,840,117.35
46,Chanthapanya Hotel Vientiane,Superior Double or Twin Room,8.5,Excellent ,980,47.26
47,Cheuang Vanavong 2,Standard Double,7.1,Very good ,108,26.60
48,Family Boutique Hotel,Standard Twin,7.9,Very good ,"2,941",31.92
49,Tera Hotel Vientiane,Standard Double or Twin Room,8.7,Excellent ,588,37.49
50,La Ong Dao Hotel 1,Standard Double Bed,6.3,Good ,"1,005",18.95
51,Souphaphone Hotel,Double (no window),8.4,Excellent ,365,19.18
52,SureStay Hotel by Best Western Vientiane,Superior Room with 2 Twin Beds,8.6,Excellent ,366,73.63
53,The Riva Vientiane Hotel,Standard Double or Twin Room,8.9,Excellent ,54,44.75
54,VANHSENG BOUTIQUE VIENTIANE HOTEL,"Twin Room with Balcony - Adult Only, Smoking",7.7,Very good ,331,38.12
55,Lao Poet Hotel,Classic Room,9,Exceptional ,990,76.69
56,New Champa Boutique Hotel,N/A,8.9,Excellent ,642,N/A
57,Landmark Mekong Riverside Hotel,Superior City View Double Bed,8.4,Excellent ,464,108.92
58,Lao Orchid Hotel,Superior Twin Room,8.6,Excellent ,925,61.35
59,Manorom Chateau Hotel,Standard Double Room,8,Excellent ,319,25.58
60,Green Park Boutique hotel,Deluxe Twin Room,8.5,Excellent ,"1,485",91.92
61,Champion Boutique Hotel,Deluxe Double Room,7.7,Very good ,147,17.12
62,Seasons Riverside Hotel,Standard Double Bed,7.5,Very good ,274,32.60
63,Sabaidee@Lao Hotel Vientiane,Superior Twin Room,8.1,Excellent ,"1,426",59.83
64,Petit Espace Boutique Hostel,Deluxe Double Room,8.6,Excellent ,128,18.12
65,Lao Golden Hotel,Superior Double Room,7.2,Very good ,"1,023",39.92
66,Sengphachanh Hotel 2,N/A,7,Very good ,78,N/A
67,Sokdee City Vientiane Hotel,Standard Twin Room,7.8,Very good ,708,25.15
68,Urbanite Hotel,Deluxe Double Room with Balcony,8.5,Excellent ,434,49.78
69,New Rose Boutique Hotel,Deluxe King Room,7.6,Very good ,476,30.69
70,The QUBE Hotel & Suite Vientiane,Superior King Room,8,Excellent ,143,65.18
